DateTime,Date,Hour,Entrances
2022-09-21 18:00:00,2022-09-21,18,336
2022-09-21 19:00:00,2022-09-21,19,296
2022-09-21 20:00:00,2022-09-21,20,270
2022-09-21 21:00:00,2022-09-21,21,169
2022-09-21 22:00:00,2022-09-21,22,68
2022-09-21 23:00:00,2022-09-21,23,11
2022-09-22 05:00:00,2022-09-22,5,15
2022-09-22 06:00:00,2022-09-22,6,184
2022-09-22 07:00:00,2022-09-22,7,179
2022-09-22 08:00:00,2022-09-22,8,245
2022-09-22 09:00:00,2022-09-22,9,330
2022-09-22 10:00:00,2022-09-22,10,323
2022-09-22 11:00:00,2022-09-22,11,432
2022-09-22 12:00:00,2022-09-22,12,299
2022-09-22 13:00:00,2022-09-22,13,292
2022-09-22 14:00:00,2022-09-22,14,341
2022-09-22 15:00:00,2022-09-22,15,305
2022-09-22 16:00:00,2022-09-22,16,437
2022-09-22 17:00:00,2022-09-22,17,282
2022-09-22 18:00:00,2022-09-22,18,400
2022-09-22 19:00:00,2022-09-22,19,260
2022-09-22 20:00:00,2022-09-22,20,250
2022-09-22 21:00:00,2022-09-22,21,169
2022-09-22 22:00:00,2022-09-22,22,101
2022-09-22 23:00:00,2022-09-22,23,11
2022-09-23 06:00:00,2022-09-23,6,154
2022-09-23 07:00:00,2022-09-23,7,142
2022-09-23 08:00:00,2022-09-23,8,232
2022-09-23 09:00:00,2022-09-23,9,227
2022-09-23 10:00:00,2022-09-23,10,363
2022-09-23 11:00:00,2022-09-23,11,361
2022-09-23 12:00:00,2022-09-23,12,430
2022-09-23 13:00:00,2022-09-23,13,406
2022-09-23 14:00:00,2022-09-23,14,431
2022-09-23 15:00:00,2022-09-23,15,395
2022-09-23 16:00:00,2022-09-23,16,362
2022-09-23 17:00:00,2022-09-23,17,283
2022-09-23 18:00:00,2022-09-23,18,305
2022-09-23 19:00:00,2022-09-23,19,172
2022-09-23 20:00:00,2022-09-23,20,132
2022-09-23 21:00:00,2022-09-23,21,99
2022-09-23 22:00:00,2022-09-23,22,48
2022-09-23 23:00:00,2022-09-23,23,11
2022-09-24 07:00:00,2022-09-24,7,14
2022-09-24 08:00:00,2022-09-24,8,115
2022-09-24 09:00:00,2022-09-24,9,145
2022-09-24 10:00:00,2022-09-24,10,212
2022-09-24 11:00:00,2022-09-24,11,260
2022-09-24 12:00:00,2022-09-24,12,187
2022-09-24 13:00:00,2022-09-24,13,190
2022-09-24 14:00:00,2022-09-24,14,281
2022-09-24 15:00:00,2022-09-24,15,842
2022-09-24 16:00:00,2022-09-24,16,595
2022-09-24 17:00:00,2022-09-24,17,494
2022-09-24 18:00:00,2022-09-24,18,435
2022-09-24 19:00:00,2022-09-24,19,404
2022-09-24 20:00:00,2022-09-24,20,400
2022-09-24 21:00:00,2022-09-24,21,128
2022-09-26 06:00:00,2022-09-26,6,214
2022-09-26 07:00:00,2022-09-26,7,184
2022-09-26 08:00:00,2022-09-26,8,289
2022-09-26 09:00:00,2022-09-26,9,286
2022-09-26 10:00:00,2022-09-26,10,342
2022-09-26 11:00:00,2022-09-26,11,315
2022-09-26 12:00:00,2022-09-26,12,300
2022-09-26 13:00:00,2022-09-26,13,249
2022-09-26 14:00:00,2022-09-26,14,332
2022-09-26 15:00:00,2022-09-26,15,308
2022-09-26 16:00:00,2022-09-26,16,429
2022-09-26 17:00:00,2022-09-26,17,399
2022-09-26 18:00:00,2022-09-26,18,543
2022-09-26 19:00:00,2022-09-26,19,394
2022-09-26 20:00:00,2022-09-26,20,442
2022-09-26 21:00:00,2022-09-26,21,283
2022-09-26 22:00:00,2022-09-26,22,115
2022-09-26 23:00:00,2022-09-26,23,14
2022-09-27 06:00:00,2022-09-27,6,274
2022-09-27 07:00:00,2022-09-27,7,201
2022-09-27 08:00:00,2022-09-27,8,280
2022-09-27 09:00:00,2022-09-27,9,355
