DateTime,Date,Hour,Entrances
2022-10-10 05:00:00,2022-10-10,5,399
2022-10-10 06:00:00,2022-10-10,6,641
2022-10-10 07:00:00,2022-10-10,7,511
2022-10-10 08:00:00,2022-10-10,8,524
2022-10-10 09:00:00,2022-10-10,9,581
2022-10-10 10:00:00,2022-10-10,10,439
2022-10-10 11:00:00,2022-10-10,11,310
2022-10-10 12:00:00,2022-10-10,12,298
2022-10-11 01:00:00,2022-10-11,1,256
2022-10-11 02:00:00,2022-10-11,2,316
2022-10-11 03:00:00,2022-10-11,3,304
2022-10-11 04:00:00,2022-10-11,4,394
2022-10-11 05:00:00,2022-10-11,5,382
2022-10-11 06:00:00,2022-10-11,6,617
2022-10-11 07:00:00,2022-10-11,7,503
2022-10-11 08:00:00,2022-10-11,8,519
2022-10-11 09:00:00,2022-10-11,9,496
2022-10-11 10:00:00,2022-10-11,10,426
2022-10-11 11:00:00,2022-10-11,11,365
2022-10-11 12:00:00,2022-10-11,12,249
2022-10-12 01:00:00,2022-10-12,1,223
2022-10-12 02:00:00,2022-10-12,2,308
2022-10-12 03:00:00,2022-10-12,3,271
2022-10-12 04:00:00,2022-10-12,4,391
2022-10-12 05:00:00,2022-10-12,5,373
2022-10-12 06:00:00,2022-10-12,6,529
2022-10-12 07:00:00,2022-10-12,7,467
2022-10-12 08:00:00,2022-10-12,8,505
2022-10-12 09:00:00,2022-10-12,9,493
2022-10-12 10:00:00,2022-10-12,10,418
2022-10-12 11:00:00,2022-10-12,11,326
2022-10-12 12:00:00,2022-10-12,12,283
2022-10-13 01:00:00,2022-10-13,1,274
2022-10-13 02:00:00,2022-10-13,2,297
2022-10-13 03:00:00,2022-10-13,3,266
2022-10-13 04:00:00,2022-10-13,4,375
2022-10-13 05:00:00,2022-10-13,5,313
2022-10-13 06:00:00,2022-10-13,6,435
2022-10-13 07:00:00,2022-10-13,7,338
2022-10-13 08:00:00,2022-10-13,8,374
2022-10-13 09:00:00,2022-10-13,9,374
2022-10-13 10:00:00,2022-10-13,10,377
2022-10-13 11:00:00,2022-10-13,11,392
2022-10-13 12:00:00,2022-10-13,12,261
2022-10-14 01:00:00,2022-10-14,1,319
2022-10-14 02:00:00,2022-10-14,2,339
2022-10-14 03:00:00,2022-10-14,3,295
2022-10-14 04:00:00,2022-10-14,4,363
2022-10-14 05:00:00,2022-10-14,5,285
2022-10-14 06:00:00,2022-10-14,6,387
2022-10-14 07:00:00,2022-10-14,7,239
2022-10-14 08:00:00,2022-10-14,8,242
2022-10-14 09:00:00,2022-10-14,9,251
2022-10-14 10:00:00,2022-10-14,10,334
2022-10-14 11:00:00,2022-10-14,11,294
2022-10-14 12:00:00,2022-10-14,12,340
2022-10-15 01:00:00,2022-10-15,1,286
2022-10-15 02:00:00,2022-10-15,2,330
2022-10-15 03:00:00,2022-10-15,3,409
2022-10-15 04:00:00,2022-10-15,4,366
2022-10-15 05:00:00,2022-10-15,5,446
2022-10-15 06:00:00,2022-10-15,6,343
2022-10-15 07:00:00,2022-10-15,7,431
2022-10-15 08:00:00,2022-10-15,8,516
2022-10-15 09:00:00,2022-10-15,9,282
2022-10-15 10:00:00,2022-10-15,10,231
2022-10-15 11:00:00,2022-10-15,11,380
2022-10-15 12:00:00,2022-10-15,12,327
2022-10-17 01:00:00,2022-10-17,1,260
2022-10-17 02:00:00,2022-10-17,2,309
2022-10-17 03:00:00,2022-10-17,3,262
2022-10-17 04:00:00,2022-10-17,4,450
2022-10-17 05:00:00,2022-10-17,5,403
2022-10-17 06:00:00,2022-10-17,6,627
2022-10-17 07:00:00,2022-10-17,7,505
2022-10-17 08:00:00,2022-10-17,8,585
2022-10-17 09:00:00,2022-10-17,9,564
2022-10-17 10:00:00,2022-10-17,10,461
2022-10-17 11:00:00,2022-10-17,11,286
2022-10-17 12:00:00,2022-10-17,12,279
2022-10-18 01:00:00,2022-10-18,1,251
2022-10-18 02:00:00,2022-10-18,2,320
2022-10-18 03:00:00,2022-10-18,3,271
2022-10-18 04:00:00,2022-10-18,4,379
2022-10-18 05:00:00,2022-10-18,5,356
2022-10-18 06:00:00,2022-10-18,6,643
2022-10-18 07:00:00,2022-10-18,7,519
2022-10-18 08:00:00,2022-10-18,8,533
2022-10-18 09:00:00,2022-10-18,9,577
2022-10-18 10:00:00,2022-10-18,10,394
2022-10-18 11:00:00,2022-10-18,11,393
2022-10-18 12:00:00,2022-10-18,12,284
2022-10-19 01:00:00,2022-10-19,1,279
2022-10-19 02:00:00,2022-10-19,2,335
2022-10-19 03:00:00,2022-10-19,3,294
2022-10-19 04:00:00,2022-10-19,4,409
2022-10-19 05:00:00,2022-10-19,5,393
2022-10-19 06:00:00,2022-10-19,6,503
2022-10-19 07:00:00,2022-10-19,7,529
2022-10-19 08:00:00,2022-10-19,8,567
2022-10-19 09:00:00,2022-10-19,9,526
2022-10-19 10:00:00,2022-10-19,10,420
2022-10-19 11:00:00,2022-10-19,11,280
2022-10-19 12:00:00,2022-10-19,12,345
2022-10-20 01:00:00,2022-10-20,1,245
2022-10-20 02:00:00,2022-10-20,2,339
2022-10-20 03:00:00,2022-10-20,3,234
2022-10-20 04:00:00,2022-10-20,4,340
2022-10-20 05:00:00,2022-10-20,5,272
2022-10-20 06:00:00,2022-10-20,6,512
2022-10-20 07:00:00,2022-10-20,7,368
2022-10-20 08:00:00,2022-10-20,8,464
2022-10-20 09:00:00,2022-10-20,9,455
2022-10-20 10:00:00,2022-10-20,10,338
2022-10-20 11:00:00,2022-10-20,11,383
2022-10-20 12:00:00,2022-10-20,12,287
2022-10-21 01:00:00,2022-10-21,1,266
2022-10-21 02:00:00,2022-10-21,2,270
2022-10-21 03:00:00,2022-10-21,3,243
2022-10-21 04:00:00,2022-10-21,4,257
2022-10-21 05:00:00,2022-10-21,5,257
2022-10-21 06:00:00,2022-10-21,6,365
2022-10-21 07:00:00,2022-10-21,7,257
2022-10-21 08:00:00,2022-10-21,8,251
2022-10-21 09:00:00,2022-10-21,9,288
2022-10-21 10:00:00,2022-10-21,10,332
2022-10-21 11:00:00,2022-10-21,11,268
2022-10-21 12:00:00,2022-10-21,12,336
2022-10-22 01:00:00,2022-10-22,1,296
2022-10-22 02:00:00,2022-10-22,2,311
2022-10-22 03:00:00,2022-10-22,3,377
2022-10-22 04:00:00,2022-10-22,4,373
2022-10-22 05:00:00,2022-10-22,5,367
2022-10-22 06:00:00,2022-10-22,6,300
2022-10-22 07:00:00,2022-10-22,7,400
2022-10-22 08:00:00,2022-10-22,8,622
2022-10-22 09:00:00,2022-10-22,9,374
2022-10-22 10:00:00,2022-10-22,10,296
2022-10-22 11:00:00,2022-10-22,11,377
2022-10-22 12:00:00,2022-10-22,12,300
2022-10-23 01:00:00,2022-10-23,1,260
2022-10-23 02:00:00,2022-10-23,2,317
2022-10-23 03:00:00,2022-10-23,3,289
2022-10-23 04:00:00,2022-10-23,4,372
2022-10-23 05:00:00,2022-10-23,5,402
2022-10-23 06:00:00,2022-10-23,6,618
2022-10-23 07:00:00,2022-10-23,7,475
2022-10-23 08:00:00,2022-10-23,8,572
2022-10-23 09:00:00,2022-10-23,9,471
2022-10-23 10:00:00,2022-10-23,10,382
2022-10-23 11:00:00,2022-10-23,11,286
2022-10-23 12:00:00,2022-10-23,12,310
2022-10-25 01:00:00,2022-10-25,1,227
2022-10-25 02:00:00,2022-10-25,2,292
2022-10-25 03:00:00,2022-10-25,3,301
2022-10-25 04:00:00,2022-10-25,4,411
2022-10-25 05:00:00,2022-10-25,5,388
2022-10-25 06:00:00,2022-10-25,6,525
2022-10-25 07:00:00,2022-10-25,7,504
2022-10-25 08:00:00,2022-10-25,8,510
2022-10-25 09:00:00,2022-10-25,9,490
2022-10-25 10:00:00,2022-10-25,10,390
2022-10-25 11:00:00,2022-10-25,11,376
2022-10-25 12:00:00,2022-10-25,12,252
2022-10-26 01:00:00,2022-10-26,1,231
2022-10-26 02:00:00,2022-10-26,2,287
2022-10-26 03:00:00,2022-10-26,3,295
