Entrance/Exit Statistics,,
Parameters,,
"Mon, Sep 12, 2022 12:00 AM to Mon, Feb 20, 2023 11:59 PM",,
Facilities: Recreation Center,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,
,Entrances,Exits
08:45 - 9:00 AM,6,0
9:00 - 9:15 AM,11,0
9:15 - 9:30 AM,7,0
9:30 - 9:45 AM,5,0
9:45 - 10:00 AM,5,0
10:00 - 10:15 AM,8,0
10:15 - 10:30 AM,5,0
10:30 - 10:45 AM,16,0
10:45 - 11:00 AM,15,0
11:00 - 11:15 AM,14,0
11:15 - 11:30 AM,11,0
11:30 - 11:45 AM,7,0
11:45 - 12:00 AM,11,0
12:00 - 12:15 AM,14,0
"Tue, Feb 21 2023 2:45P",Page: 119/247,
Entrances,Exits,
12:15 - 12:30 AM,9,0
12:30 - 12:45 AM,10,0
12:45 - 01:00 PM,9,0
01:00 - 01:15 PM,16,0
01:15 - 01:30 PM,9,0
01:30 - 01:45 PM,11,0
01:45 - 02:00 PM,13,0
02:00 - 02:15 PM,8,0
02:15 - 02:30 PM,10,0
02:30 - 02:45 PM,8,0
02:45 - 03:00 PM,11,0
03:00 - 03:15 PM,13,0
03:15 - 03:30 PM,13,0
03:30 - 03:45 PM,9,0
03:45 - 04:00 PM,13,0
04:00 - 04:15 PM,16,0
04:15 - 04:30 PM,12,0
04:30 - 04:45 PM,16,0
04:45 - 05:00 PM,14,0
05:00 - 05:15 PM,12,0
05:15 - 05:30 PM,12,0
05:30 - 05:45 PM,12,0
05:45 - 06:00 PM,15,0
06:00 - 06:15 PM,12,0
06:15 - 06:30 PM,13,0
06:30 - 06:45 PM,6,0
06:45 - 07:00 PM,5,0
07:00 - 07:15 PM,3,0
07:15 - 07:30 PM,11,0
07:30 - 07:45 PM,8,0
07:45 - 08:00 PM,5,0
08:00 - 08:15 PM,7,0
08:15 - 08:30 PM,5,0
08:30 - 08:45 PM,5,0
08:45 - 9:00 PM,5,0
9:00 - 9:15 PM,1,0
9:30 - 9:45 PM,1,0
9:45 - 10:00 PM,1,0
10:00 - 10:15 PM,2,0
"Tue, Nov 22, 2022",462,0
"Tue, Feb 21 2023 2:45P",Page: 120/247,
Entrances,Exits,
06:00 - 06:15 AM,11,0
06:15 - 06:30 AM,5,0
06:30 - 06:45 AM,4,0
06:45 - 07:00 AM,3,0
07:15 - 07:30 AM,1,0
07:30 - 07:45 AM,1,0
07:45 - 08:00 AM,2,0
08:00 - 08:15 AM,6,0
08:15 - 08:30 AM,8,0
08:30 - 08:45 AM,3,0
08:45 - 9:00 AM,4,0
9:00 - 9:15 AM,9,0
9:15 - 9:30 AM,11,0
9:30 - 9:45 AM,7,0
9:45 - 10:00 AM,2,0
10:00 - 10:15 AM,11,0
10:15 - 10:30 AM,5,0
10:30 - 10:45 AM,6,0
10:45 - 11:00 AM,10,0
11:00 - 11:15 AM,10,0
11:15 - 11:30 AM,9,0
11:30 - 11:45 AM,11,0
11:45 - 12:00 AM,10,0
12:00 - 12:15 AM,9,0
12:15 - 12:30 AM,10,0
12:30 - 12:45 AM,8,0
12:45 - 01:00 PM,9,0
01:00 - 01:15 PM,11,0
01:15 - 01:30 PM,10,0
01:30 - 01:45 PM,8,0
01:45 - 02:00 PM,8,0
02:00 - 02:15 PM,16,0
02:15 - 02:30 PM,11,0
02:30 - 02:45 PM,9,0
02:45 - 03:00 PM,11,0
03:00 - 03:15 PM,5,0
03:15 - 03:30 PM,5,0
03:30 - 03:45 PM,9,0
03:45 - 04:00 PM,5,0
04:00 - 04:15 PM,10,0
"Tue, Feb 21 2023 2:45P",Page: 121/247,
Entrances,Exits,
04:15 - 04:30 PM,9,0
04:30 - 04:45 PM,14,0
04:45 - 05:00 PM,8,0
05:00 - 05:15 PM,8,0
05:15 - 05:30 PM,5,0
05:30 - 05:45 PM,8,0
05:45 - 06:00 PM,10,0
06:00 - 06:15 PM,8,0
06:15 - 06:30 PM,6,0
06:30 - 06:45 PM,10,0
06:45 - 07:00 PM,10,0
07:00 - 07:15 PM,8,0
07:15 - 07:30 PM,8,0
07:30 - 07:45 PM,6,0
07:45 - 08:00 PM,8,0
08:00 - 08:15 PM,5,0
08:15 - 08:30 PM,3,0
08:30 - 08:45 PM,7,0
08:45 - 9:00 PM,6,0
9:00 - 9:15 PM,2,0
9:15 - 9:30 PM,8,0
9:30 - 9:45 PM,2,0
"Wed, Nov 23, 2022",291,0
05:45 - 06:00 AM,1,0
06:00 - 06:15 AM,9,0
06:15 - 06:30 AM,5,0
06:30 - 06:45 AM,6,0
06:45 - 07:00 AM,3,0
07:00 - 07:15 AM,7,0
07:15 - 07:30 AM,1,0
07:30 - 07:45 AM,4,0
07:45 - 08:00 AM,4,0
08:00 - 08:15 AM,5,0
08:15 - 08:30 AM,2,0
08:30 - 08:45 AM,7,0
08:45 - 9:00 AM,10,0
9:00 - 9:15 AM,5,0
9:15 - 9:30 AM,7,0
9:30 - 9:45 AM,8,0
9:45 - 10:00 AM,5,0
"Tue, Feb 21 2023 2:45P",Page: 122/247,
Entrances,Exits,
10:00 - 10:15 AM,11,0
10:15 - 10:30 AM,12,0
10:30 - 10:45 AM,7,0
10:45 - 11:00 AM,7,0
11:00 - 11:15 AM,6,0
11:15 - 11:30 AM,5,0
11:30 - 11:45 AM,15,0
11:45 - 12:00 AM,5,0
12:00 - 12:15 AM,9,0
12:15 - 12:30 AM,14,0
12:30 - 12:45 AM,7,0
12:45 - 01:00 PM,9,0
01:00 - 01:15 PM,13,0
01:15 - 01:30 PM,5,0
01:30 - 01:45 PM,10,0
01:45 - 02:00 PM,7,0
02:00 - 02:15 PM,13,0
02:15 - 02:30 PM,11,0
02:30 - 02:45 PM,12,0
02:45 - 03:00 PM,8,0
03:00 - 03:15 PM,6,0
03:15 - 03:30 PM,3,0
03:30 - 03:45 PM,6,0
03:45 - 04:00 PM,1,0
"Fri, Nov 25, 2022",259,0
11:45 - 12:00 AM,7,0
12:00 - 12:15 AM,16,0
12:15 - 12:30 AM,13,0
12:30 - 12:45 AM,12,0
12:45 - 01:00 PM,10,0
01:00 - 01:15 PM,7,0
01:15 - 01:30 PM,8,0
01:30 - 01:45 PM,10,0
01:45 - 02:00 PM,10,0
02:00 - 02:15 PM,1,0
02:15 - 02:30 PM,6,0
02:30 - 02:45 PM,3,0
02:45 - 03:00 PM,11,0
03:00 - 03:15 PM,10,0
03:15 - 03:30 PM,15,0
"Tue, Feb 21 2023 2:45P",Page: 123/247,
Entrances,Exits,
03:30 - 03:45 PM,8,0
03:45 - 04:00 PM,6,0
04:00 - 04:15 PM,5,0
04:15 - 04:30 PM,10,0
04:30 - 04:45 PM,8,0
04:45 - 05:00 PM,7,0
05:00 - 05:15 PM,5,0
05:15 - 05:30 PM,8,0
05:30 - 05:45 PM,10,0
05:45 - 06:00 PM,3,0
06:00 - 06:15 PM,16,0
06:15 - 06:30 PM,12,0
06:30 - 06:45 PM,7,0
06:45 - 07:00 PM,4,0
07:00 - 07:15 PM,5,0
07:15 - 07:30 PM,1,0
07:30 - 07:45 PM,5,0
"Sat, Nov 26, 2022",654,0
07:45 - 08:00 AM,1,0
08:00 - 08:15 AM,13,0
08:15 - 08:30 AM,3,0
08:30 - 08:45 AM,11,0
08:45 - 9:00 AM,9,0
9:00 - 9:15 AM,10,0
9:15 - 9:30 AM,19,0
9:30 - 9:45 AM,5,0
9:45 - 10:00 AM,14,0
10:00 - 10:15 AM,11,0
10:15 - 10:30 AM,13,0
10:30 - 10:45 AM,13,0
10:45 - 11:00 AM,7,0
11:00 - 11:15 AM,13,0
11:15 - 11:30 AM,15,0
11:30 - 11:45 AM,11,0
11:45 - 12:00 AM,4,0
12:00 - 12:15 AM,10,0
12:15 - 12:30 AM,8,0
12:30 - 12:45 AM,6,0
12:45 - 01:00 PM,9,0
01:00 - 01:15 PM,9,0
"Tue, Feb 21 2023 2:45P",Page: 124/247,
,Entrances,Exits
01:15 - 01:30 PM,5,0
01:30 - 01:45 PM,15,0
01:45 - 02:00 PM,14,0
02:00 - 02:15 PM,11,0
02:15 - 02:30 PM,10,0
02:30 - 02:45 PM,5,0
02:45 - 03:00 PM,5,0
03:00 - 03:15 PM,16,0
03:15 - 03:30 PM,19,0
03:30 - 03:45 PM,10,0
03:45 - 04:00 PM,9,0
04:00 - 04:15 PM,14,0
04:15 - 04:30 PM,14,0
04:30 - 04:45 PM,12,0
04:45 - 05:00 PM,25,0
05:00 - 05:15 PM,19,0
05:15 - 05:30 PM,22,0
05:30 - 05:45 PM,14,0
05:45 - 06:00 PM,30,0
06:00 - 06:15 PM,21,0
06:15 - 06:30 PM,12,0
06:30 - 06:45 PM,16,0
06:45 - 07:00 PM,14,0
07:00 - 07:15 PM,14,0
07:15 - 07:30 PM,17,0
07:30 - 07:45 PM,7,0
07:45 - 08:00 PM,16,0
08:00 - 08:15 PM,16,0
08:15 - 08:30 PM,8,0
08:30 - 08:45 PM,13,0
08:45 - 9:00 PM,7,0
9:00 - 9:15 PM,1,0
9:15 - 9:30 PM,7,0
9:30 - 9:45 PM,2,0
Week: 11/27/2022 - 12/03/2022,23233,0
"Sun, Nov 27, 2022",1600,0
07:45 - 08:00 AM,5,0
08:00 - 08:15 AM,23,0
08:15 - 08:30 AM,16,0
08:30 - 08:45 AM,8,0
"Tue, Feb 21 2023 2:45P",Page: 125/247,
Entrances,Exits,
08:45 - 9:00 AM,18,0
9:00 - 9:15 AM,12,0
9:15 - 9:30 AM,13,0
9:30 - 9:45 AM,12,0
9:45 - 10:00 AM,31,0
10:00 - 10:15 AM,25,0
10:15 - 10:30 AM,23,0
10:30 - 10:45 AM,28,0
10:45 - 11:00 AM,31,0
11:00 - 11:15 AM,32,0
11:15 - 11:30 AM,31,0
11:30 - 11:45 AM,19,0
11:45 - 12:00 AM,20,0
12:00 - 12:15 AM,19,0
12:15 - 12:30 AM,28,0
12:30 - 12:45 AM,18,0
12:45 - 01:00 PM,29,0
01:00 - 01:15 PM,18,0
01:15 - 01:30 PM,29,0
01:30 - 01:45 PM,39,0
01:45 - 02:00 PM,20,0
02:00 - 02:15 PM,26,0
02:15 - 02:30 PM,34,0
02:30 - 02:45 PM,19,0
02:45 - 03:00 PM,35,0
03:00 - 03:15 PM,32,0
03:15 - 03:30 PM,37,0
03:30 - 03:45 PM,33,0
03:45 - 04:00 PM,31,0
04:00 - 04:15 PM,31,0
04:15 - 04:30 PM,36,0
04:30 - 04:45 PM,47,0
04:45 - 05:00 PM,48,0
05:00 - 05:15 PM,51,0
05:15 - 05:30 PM,50,0
05:30 - 05:45 PM,61,0
05:45 - 06:00 PM,43,0
06:00 - 06:15 PM,25,0
06:15 - 06:30 PM,36,0
06:30 - 06:45 PM,29,0
"Tue, Feb 21 2023 2:45P",Page: 126/247,
Entrances,Exits,
06:45 - 07:00 PM,37,0
07:00 - 07:15 PM,62,0
07:15 - 07:30 PM,26,0
07:30 - 07:45 PM,25,0
07:45 - 08:00 PM,48,0
08:00 - 08:15 PM,34,0
08:15 - 08:30 PM,35,0
08:30 - 08:45 PM,21,0
08:45 - 9:00 PM,31,0
9:00 - 9:15 PM,14,0
9:15 - 9:30 PM,9,0
9:30 - 9:45 PM,5,0
9:45 - 10:00 PM,2,0
"Mon, Nov 28, 2022",4101,0
06:00 - 06:15 AM,61,0
06:15 - 06:30 AM,30,0
06:30 - 06:45 AM,33,0
06:45 - 07:00 AM,29,0
07:00 - 07:15 AM,24,0
07:15 - 07:30 AM,36,0
07:30 - 07:45 AM,33,0
07:45 - 08:00 AM,46,0
08:00 - 08:15 AM,60,0
08:15 - 08:30 AM,35,0
08:30 - 08:45 AM,64,0
08:45 - 9:00 AM,57,0
9:00 - 9:15 AM,98,0
9:15 - 9:30 AM,44,0
9:30 - 9:45 AM,42,0
9:45 - 10:00 AM,49,0
10:00 - 10:15 AM,129,0
10:15 - 10:30 AM,55,0
10:30 - 10:45 AM,45,0
10:45 - 11:00 AM,40,0
11:00 - 11:15 AM,81,0
11:15 - 11:30 AM,32,0
11:30 - 11:45 AM,33,0
11:45 - 12:00 AM,61,0
12:00 - 12:15 AM,114,0
12:15 - 12:30 AM,66,0
"Tue, Feb 21 2023 2:45P",Page: 127/247,
Entrances,Exits,
12:30 - 12:45 AM,36,0
12:45 - 01:00 PM,44,0
01:00 - 01:15 PM,87,0
01:15 - 01:30 PM,43,0
01:30 - 01:45 PM,52,0
01:45 - 02:00 PM,67,0
02:00 - 02:15 PM,95,0
02:15 - 02:30 PM,48,0
02:30 - 02:45 PM,58,0
02:45 - 03:00 PM,52,0
03:00 - 03:15 PM,81,0
03:15 - 03:30 PM,60,0
03:30 - 03:45 PM,63,0
03:45 - 04:00 PM,65,0
04:00 - 04:15 PM,132,0
04:15 - 04:30 PM,78,0
04:30 - 04:45 PM,66,0
04:45 - 05:00 PM,59,0
05:00 - 05:15 PM,115,0
05:15 - 05:30 PM,95,0
05:30 - 05:45 PM,63,0
05:45 - 06:00 PM,80,0
06:00 - 06:15 PM,123,0
06:15 - 06:30 PM,82,0
06:30 - 06:45 PM,82,0
06:45 - 07:00 PM,72,0
07:00 - 07:15 PM,74,0
07:15 - 07:30 PM,70,0
07:30 - 07:45 PM,69,0
07:45 - 08:00 PM,61,0
08:00 - 08:15 PM,70,0
08:15 - 08:30 PM,57,0
08:30 - 08:45 PM,63,0
08:45 - 9:00 PM,60,0
9:00 - 9:15 PM,67,0
9:15 - 9:30 PM,44,0
9:30 - 9:45 PM,37,0
9:45 - 10:00 PM,38,0
10:00 - 10:15 PM,39,0
10:15 - 10:30 PM,21,0
"Tue, Feb 21 2023 2:45P",Page: 128/247,
Entrances,Exits,
10:30 - 10:45 PM,25,0
10:45 - 11:00 PM,6,0
11:00 - 11:15 PM,2,0
11:15 - 11:30 PM,3,0
"Tue, Nov 29, 2022",4352,0
05:45 - 06:00 AM,6,0
06:00 - 06:15 AM,63,0
06:15 - 06:30 AM,25,0
06:30 - 06:45 AM,50,0
06:45 - 07:00 AM,18,0
07:00 - 07:15 AM,35,0
07:15 - 07:30 AM,19,0
07:30 - 07:45 AM,31,0
07:45 - 08:00 AM,41,0
08:00 - 08:15 AM,62,0
08:15 - 08:30 AM,53,0
08:30 - 08:45 AM,46,0
08:45 - 9:00 AM,71,0
9:00 - 9:15 AM,117,0
9:15 - 9:30 AM,67,0
9:30 - 9:45 AM,59,0
9:45 - 10:00 AM,71,0
10:00 - 10:15 AM,88,0
10:15 - 10:30 AM,56,0
10:30 - 10:45 AM,47,0
10:45 - 11:00 AM,69,0
11:00 - 11:15 AM,150,0
11:15 - 11:30 AM,52,0
11:30 - 11:45 AM,47,0
11:45 - 12:00 AM,36,0
12:00 - 12:15 AM,72,0
12:15 - 12:30 AM,39,0
12:30 - 12:45 AM,31,0
12:45 - 01:00 PM,33,0
01:00 - 01:15 PM,73,0
01:15 - 01:30 PM,51,0
01:30 - 01:45 PM,65,0
01:45 - 02:00 PM,76,0
02:00 - 02:15 PM,105,0
02:15 - 02:30 PM,79,0
"Tue, Feb 21 2023 2:45P",Page: 129/247,
Entrances,Exits,
02:30 - 02:45 PM,47,0
02:45 - 03:00 PM,56,0
03:00 - 03:15 PM,83,0
03:15 - 03:30 PM,38,0
03:30 - 03:45 PM,64,0
03:45 - 04:00 PM,85,0
04:00 - 04:15 PM,98,0
04:15 - 04:30 PM,71,0
04:30 - 04:45 PM,120,0
04:45 - 05:00 PM,79,0
05:00 - 05:15 PM,135,0
05:15 - 05:30 PM,134,0
05:30 - 05:45 PM,75,0
05:45 - 06:00 PM,87,0
06:00 - 06:15 PM,77,0
06:15 - 06:30 PM,105,0
06:30 - 06:45 PM,85,0
06:45 - 07:00 PM,102,0
07:00 - 07:15 PM,77,0
07:15 - 07:30 PM,68,0
07:30 - 07:45 PM,70,0
07:45 - 08:00 PM,66,0
08:00 - 08:15 PM,64,0
08:15 - 08:30 PM,67,0
08:30 - 08:45 PM,52,0
08:45 - 9:00 PM,57,0
9:00 - 9:15 PM,51,0
9:15 - 9:30 PM,37,0
9:30 - 9:45 PM,39,0
9:45 - 10:00 PM,33,0
10:00 - 10:15 PM,49,0
10:15 - 10:30 PM,29,0
10:30 - 10:45 PM,17,0
10:45 - 11:00 PM,20,0
11:00 - 11:15 PM,6,0
11:15 - 11:30 PM,5,0
11:30 - 11:45 PM,1,0
"Wed, Nov 30, 2022",4040,0
06:00 - 06:15 AM,60,0
06:15 - 06:30 AM,28,0
"Tue, Feb 21 2023 2:45P",Page: 130/247,
Entrances,Exits,
06:30 - 06:45 AM,20,0
06:45 - 07:00 AM,25,0
07:00 - 07:15 AM,22,0
07:15 - 07:30 AM,23,0
07:30 - 07:45 AM,28,0
07:45 - 08:00 AM,30,0
08:00 - 08:15 AM,49,0
08:15 - 08:30 AM,39,0
08:30 - 08:45 AM,62,0
08:45 - 9:00 AM,63,0
9:00 - 9:15 AM,104,0
9:15 - 9:30 AM,64,0
9:30 - 9:45 AM,46,0
9:45 - 10:00 AM,46,0
10:00 - 10:15 AM,108,0
10:15 - 10:30 AM,68,0
10:30 - 10:45 AM,37,0
10:45 - 11:00 AM,42,0
11:00 - 11:15 AM,90,0
11:15 - 11:30 AM,48,0
11:30 - 11:45 AM,46,0
11:45 - 12:00 AM,58,0
12:00 - 12:15 AM,130,0
12:15 - 12:30 AM,75,0
12:30 - 12:45 AM,42,0
12:45 - 01:00 PM,40,0
01:00 - 01:15 PM,65,0
01:15 - 01:30 PM,62,0
01:30 - 01:45 PM,43,0
01:45 - 02:00 PM,54,0
02:00 - 02:15 PM,86,0
02:15 - 02:30 PM,61,0
02:30 - 02:45 PM,57,0
02:45 - 03:00 PM,42,0
03:00 - 03:15 PM,72,0
03:15 - 03:30 PM,51,0
03:30 - 03:45 PM,44,0
03:45 - 04:00 PM,60,0
04:00 - 04:15 PM,120,0
04:15 - 04:30 PM,84,0
"Tue, Feb 21 2023 2:45P",Page: 131/247,
Entrances,Exits,
04:30 - 04:45 PM,69,0
04:45 - 05:00 PM,89,0
05:00 - 05:15 PM,91,0
05:15 - 05:30 PM,77,0
05:30 - 05:45 PM,73,0
05:45 - 06:00 PM,86,0
06:00 - 06:15 PM,111,0
06:15 - 06:30 PM,97,0
06:30 - 06:45 PM,63,0
06:45 - 07:00 PM,79,0
07:00 - 07:15 PM,79,0
07:15 - 07:30 PM,49,0
07:30 - 07:45 PM,81,0
07:45 - 08:00 PM,64,0
08:00 - 08:15 PM,69,0
08:15 - 08:30 PM,41,0
08:30 - 08:45 PM,29,0
08:45 - 9:00 PM,93,0
9:00 - 9:15 PM,75,0
9:15 - 9:30 PM,39,0
9:30 - 9:45 PM,43,0
9:45 - 10:00 PM,41,0
10:00 - 10:15 PM,25,0
10:15 - 10:30 PM,29,0
10:30 - 10:45 PM,22,0
10:45 - 11:00 PM,13,0
11:00 - 11:15 PM,10,0
11:15 - 11:30 PM,7,0
11:30 - 11:45 PM,2,0
"Thu, Dec 1, 2022",3292,0
05:45 - 06:00 AM,12,0
06:00 - 06:15 AM,45,0
06:15 - 06:30 AM,13,0
06:30 - 06:45 AM,25,0
06:45 - 07:00 AM,18,0
07:00 - 07:15 AM,20,0
07:15 - 07:30 AM,19,0
07:30 - 07:45 AM,23,0
07:45 - 08:00 AM,29,0
08:00 - 08:15 AM,46,0
"Tue, Feb 21 2023 2:45P",Page: 132/247,
Entrances,Exits,
08:15 - 08:30 AM,45,0
08:30 - 08:45 AM,49,0
08:45 - 9:00 AM,56,0
9:00 - 9:15 AM,94,0
9:15 - 9:30 AM,49,0
9:30 - 9:45 AM,52,0
9:45 - 10:00 AM,63,0
10:00 - 10:15 AM,79,0
10:15 - 10:30 AM,57,0
10:30 - 10:45 AM,40,0
10:45 - 11:00 AM,77,0
11:00 - 11:15 AM,122,0
11:15 - 11:30 AM,63,0
11:30 - 11:45 AM,44,0
11:45 - 12:00 AM,55,0
12:00 - 12:15 AM,83,0
12:15 - 12:30 AM,39,0
12:30 - 12:45 AM,55,0
12:45 - 01:00 PM,29,0
01:00 - 01:15 PM,82,0
01:15 - 01:30 PM,66,0
01:30 - 01:45 PM,46,0
01:45 - 02:00 PM,48,0
02:00 - 02:15 PM,75,0
02:15 - 02:30 PM,49,0
02:30 - 02:45 PM,47,0
02:45 - 03:00 PM,42,0
03:00 - 03:15 PM,81,0
03:15 - 03:30 PM,74,0
03:30 - 03:45 PM,42,0
03:45 - 04:00 PM,70,0
04:00 - 04:15 PM,71,0
04:15 - 04:30 PM,68,0
04:30 - 04:45 PM,70,0
04:45 - 05:00 PM,43,0
05:00 - 05:15 PM,65,0
05:15 - 05:30 PM,64,0
05:30 - 05:45 PM,49,0
05:45 - 06:00 PM,52,0
06:00 - 06:15 PM,50,0
"Tue, Feb 21 2023 2:45P",Page: 133/247,
Entrances,Exits,
06:15 - 06:30 PM,41,0
06:30 - 06:45 PM,48,0
06:45 - 07:00 PM,36,0
07:00 - 07:15 PM,45,0
07:15 - 07:30 PM,37,0
07:30 - 07:45 PM,44,0
07:45 - 08:00 PM,52,0
08:00 - 08:15 PM,36,0
08:15 - 08:30 PM,41,0
08:30 - 08:45 PM,34,0
08:45 - 9:00 PM,23,0
9:00 - 9:15 PM,35,0
9:15 - 9:30 PM,25,0
9:30 - 9:45 PM,21,0
9:45 - 10:00 PM,30,0
10:00 - 10:15 PM,19,0
10:15 - 10:30 PM,32,0
10:30 - 10:45 PM,19,0
10:45 - 11:00 PM,8,0
11:00 - 11:15 PM,4,0
11:15 - 11:30 PM,4,0
11:30 - 11:45 PM,2,0
11:45 - 00:00 AM,1,0
"Fri, Dec 2, 2022",3334,0
05:45 - 06:00 AM,1,0
06:00 - 06:15 AM,46,0
06:15 - 06:30 AM,26,0
06:30 - 06:45 AM,19,0
06:45 - 07:00 AM,19,0
07:00 - 07:15 AM,20,0
07:15 - 07:30 AM,26,0
07:30 - 07:45 AM,21,0
07:45 - 08:00 AM,29,0
08:00 - 08:15 AM,36,0
08:15 - 08:30 AM,34,0
08:30 - 08:45 AM,36,0
08:45 - 9:00 AM,36,0
9:00 - 9:15 AM,57,0
9:15 - 9:30 AM,44,0
9:30 - 9:45 AM,43,0
"Tue, Feb 21 2023 2:45P",Page: 134/247,
Entrances,Exits,
9:45 - 10:00 AM,42,0
10:00 - 10:15 AM,86,0
10:15 - 10:30 AM,45,0
10:30 - 10:45 AM,46,0
10:45 - 11:00 AM,56,0
11:00 - 11:15 AM,75,0
11:15 - 11:30 AM,51,0
11:30 - 11:45 AM,44,0
11:45 - 12:00 AM,67,0
12:00 - 12:15 AM,98,0
12:15 - 12:30 AM,71,0
12:30 - 12:45 AM,71,0
12:45 - 01:00 PM,43,0
01:00 - 01:15 PM,63,0
01:15 - 01:30 PM,67,0
01:30 - 01:45 PM,61,0
01:45 - 02:00 PM,51,0
02:00 - 02:15 PM,77,0
02:15 - 02:30 PM,46,0
02:30 - 02:45 PM,81,0
02:45 - 03:00 PM,59,0
03:00 - 03:15 PM,96,0
03:15 - 03:30 PM,89,0
03:30 - 03:45 PM,57,0
03:45 - 04:00 PM,58,0
04:00 - 04:15 PM,96,0
04:15 - 04:30 PM,75,0
04:30 - 04:45 PM,77,0
04:45 - 05:00 PM,63,0
05:00 - 05:15 PM,110,0
05:15 - 05:30 PM,81,0
05:30 - 05:45 PM,61,0
05:45 - 06:00 PM,46,0
06:00 - 06:15 PM,43,0
06:15 - 06:30 PM,45,0
06:30 - 06:45 PM,53,0
06:45 - 07:00 PM,32,0
07:00 - 07:15 PM,34,0
07:15 - 07:30 PM,50,0
07:30 - 07:45 PM,51,0
"Tue, Feb 21 2023 2:45P",Page: 135/247,
Entrances,Exits,
07:45 - 08:00 PM,23,0
08:00 - 08:15 PM,29,0
08:15 - 08:30 PM,27,0
08:30 - 08:45 PM,30,0
08:45 - 9:00 PM,21,0
9:00 - 9:15 PM,22,0
9:15 - 9:30 PM,29,0
9:30 - 9:45 PM,28,0
9:45 - 10:00 PM,23,0
10:00 - 10:15 PM,36,0
10:15 - 10:30 PM,15,0
10:30 - 10:45 PM,11,0
10:45 - 11:00 PM,12,0
11:00 - 11:15 PM,11,0
11:15 - 11:30 PM,7,0
"Sat, Dec 3, 2022",2514,0
07:45 - 08:00 AM,7,0
08:00 - 08:15 AM,24,0
08:15 - 08:30 AM,21,0
08:30 - 08:45 AM,21,0
08:45 - 9:00 AM,22,0
9:00 - 9:15 AM,21,0
9:15 - 9:30 AM,31,0
9:30 - 9:45 AM,37,0
9:45 - 10:00 AM,50,0
10:00 - 10:15 AM,62,0
10:15 - 10:30 AM,56,0
10:30 - 10:45 AM,34,0
10:45 - 11:00 AM,47,0
11:00 - 11:15 AM,83,0
11:15 - 11:30 AM,33,0
11:30 - 11:45 AM,44,0
11:45 - 12:00 AM,52,0
12:00 - 12:15 AM,47,0
12:15 - 12:30 AM,62,0
12:30 - 12:45 AM,48,0
12:45 - 01:00 PM,36,0
01:00 - 01:15 PM,60,0
01:15 - 01:30 PM,56,0
01:30 - 01:45 PM,52,0
"Tue, Feb 21 2023 2:45P",Page: 136/247,
,Entrances,Exits
01:45 - 02:00 PM,50,0
02:00 - 02:15 PM,70,0
02:15 - 02:30 PM,47,0
02:30 - 02:45 PM,54,0
02:45 - 03:00 PM,52,0
03:00 - 03:15 PM,59,0
03:15 - 03:30 PM,63,0
03:30 - 03:45 PM,55,0
03:45 - 04:00 PM,59,0
04:00 - 04:15 PM,46,0
04:15 - 04:30 PM,52,0
04:30 - 04:45 PM,61,0
04:45 - 05:00 PM,47,0
05:00 - 05:15 PM,85,0
05:15 - 05:30 PM,58,0
05:30 - 05:45 PM,72,0
05:45 - 06:00 PM,34,0
06:00 - 06:15 PM,40,0
06:15 - 06:30 PM,58,0
06:30 - 06:45 PM,48,0
06:45 - 07:00 PM,66,0
07:00 - 07:15 PM,46,0
07:15 - 07:30 PM,29,0
07:30 - 07:45 PM,29,0
07:45 - 08:00 PM,50,0
08:00 - 08:15 PM,33,0
08:15 - 08:30 PM,42,0
08:30 - 08:45 PM,18,0
08:45 - 9:00 PM,35,0
9:00 - 9:15 PM,23,0
9:15 - 9:30 PM,14,0
9:30 - 9:45 PM,12,0
9:45 - 10:00 PM,1,0
Week: 12/04/2022 - 12/10/2022,16342,0
"Sun, Dec 4, 2022",2232,0
07:45 - 08:00 AM,7,0
08:00 - 08:15 AM,43,0
08:15 - 08:30 AM,19,0
08:30 - 08:45 AM,16,0
08:45 - 9:00 AM,18,0
"Tue, Feb 21 2023 2:45P",Page: 137/247,
Entrances,Exits,
9:00 - 9:15 AM,28,0
9:15 - 9:30 AM,29,0
9:30 - 9:45 AM,37,0
9:45 - 10:00 AM,39,0
10:00 - 10:15 AM,48,0
10:15 - 10:30 AM,45,0
10:30 - 10:45 AM,33,0
10:45 - 11:00 AM,40,0
11:00 - 11:15 AM,92,0
11:15 - 11:30 AM,33,0
11:30 - 11:45 AM,25,0
11:45 - 12:00 AM,42,0
12:00 - 12:15 AM,48,0
12:15 - 12:30 AM,31,0
12:30 - 12:45 AM,43,0
12:45 - 01:00 PM,44,0
01:00 - 01:15 PM,47,0
01:15 - 01:30 PM,43,0
01:30 - 01:45 PM,45,0
01:45 - 02:00 PM,29,0
02:00 - 02:15 PM,46,0
02:15 - 02:30 PM,29,0
02:30 - 02:45 PM,43,0
02:45 - 03:00 PM,29,0
03:00 - 03:15 PM,35,0
03:15 - 03:30 PM,38,0
03:30 - 03:45 PM,44,0
03:45 - 04:00 PM,56,0
04:00 - 04:15 PM,35,0
04:15 - 04:30 PM,42,0
04:30 - 04:45 PM,45,0
04:45 - 05:00 PM,58,0
05:00 - 05:15 PM,86,0
05:15 - 05:30 PM,70,0
05:30 - 05:45 PM,41,0
05:45 - 06:00 PM,50,0
