Entrance/Exit Statistics,,
Parameters,,
"Mon, Sep 12, 2022 12:00 AM to Mon, Feb 20, 2023 11:59 PM",,
Facilities: Recreation Center,,
"Days of the week: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",,
,Entrances,Exits
05:30 - 05:45 PM,33,0
05:45 - 06:00 PM,56,0
06:00 - 06:15 PM,43,0
06:15 - 06:30 PM,25,0
06:30 - 06:45 PM,20,0
06:45 - 07:00 PM,12,0
07:00 - 07:15 PM,36,0
07:15 - 07:30 PM,23,0
07:30 - 07:45 PM,19,0
07:45 - 08:00 PM,12,0
08:00 - 08:15 PM,23,0
"Tue, Feb 21 2023 2:45P",Page: 7/247,
Entrances,Exits,
08:15 - 08:30 PM,20,0
08:30 - 08:45 PM,43,0
08:45 - 9:00 PM,20,0
9:00 - 9:15 PM,30,0
9:15 - 9:30 PM,13,0
9:30 - 9:45 PM,9,0
9:45 - 10:00 PM,20,0
10:00 - 10:15 PM,17,0
10:15 - 10:30 PM,24,0
10:30 - 10:45 PM,17,0
10:45 - 11:00 PM,14,0
11:00 - 11:15 PM,9,0
11:15 - 11:30 PM,8,0
11:30 - 11:45 PM,4,0
"Fri, Sep 16, 2022",3217,0
05:45 - 06:00 AM,1,0
06:00 - 06:15 AM,20,0
06:15 - 06:30 AM,11,0
06:30 - 06:45 AM,24,0
06:45 - 07:00 AM,15,0
07:00 - 07:15 AM,28,0
07:15 - 07:30 AM,31,0
07:30 - 07:45 AM,58,0
07:45 - 08:00 AM,32,0
08:00 - 08:15 AM,26,0
08:15 - 08:30 AM,28,0
08:30 - 08:45 AM,39,0
08:45 - 9:00 AM,47,0
9:00 - 9:15 AM,49,0
9:15 - 9:30 AM,20,0
9:30 - 9:45 AM,33,0
9:45 - 10:00 AM,36,0
10:00 - 10:15 AM,34,0
10:15 - 10:30 AM,46,0
10:30 - 10:45 AM,73,0
10:45 - 11:00 AM,63,0
11:00 - 11:15 AM,70,0
11:15 - 11:30 AM,62,0
11:30 - 11:45 AM,61,0
11:45 - 12:00 AM,49,0
"Tue, Feb 21 2023 2:45P",Page: 8/247,
Entrances,Exits,
12:00 - 12:15 AM,71,0
12:15 - 12:30 AM,58,0
12:30 - 12:45 AM,55,0
12:45 - 01:00 PM,73,0
01:00 - 01:15 PM,68,0
01:15 - 01:30 PM,68,0
01:30 - 01:45 PM,106,0
01:45 - 02:00 PM,104,0
02:00 - 02:15 PM,97,0
02:15 - 02:30 PM,75,0
02:30 - 02:45 PM,70,0
02:45 - 03:00 PM,88,0
03:00 - 03:15 PM,73,0
03:15 - 03:30 PM,75,0
03:30 - 03:45 PM,82,0
03:45 - 04:00 PM,77,0
04:00 - 04:15 PM,117,0
04:15 - 04:30 PM,80,0
04:30 - 04:45 PM,71,0
04:45 - 05:00 PM,48,0
05:00 - 05:15 PM,46,0
05:15 - 05:30 PM,50,0
05:30 - 05:45 PM,65,0
05:45 - 06:00 PM,42,0
06:00 - 06:15 PM,28,0
06:15 - 06:30 PM,32,0
06:30 - 06:45 PM,9,0
06:45 - 07:00 PM,24,0
07:00 - 07:15 PM,48,0
07:15 - 07:30 PM,25,0
07:30 - 07:45 PM,23,0
07:45 - 08:00 PM,36,0
08:00 - 08:15 PM,27,0
08:15 - 08:30 PM,44,0
08:30 - 08:45 PM,48,0
08:45 - 9:00 PM,23,0
9:00 - 9:15 PM,28,0
9:15 - 9:30 PM,14,0
9:30 - 9:45 PM,31,0
9:45 - 10:00 PM,12,0
"Tue, Feb 21 2023 2:45P",Page: 9/247,
Entrances,Exits,
10:00 - 10:15 PM,19,0
10:15 - 10:30 PM,11,0
10:30 - 10:45 PM,10,0
10:45 - 11:00 PM,2,0
11:00 - 11:15 PM,3,0
11:15 - 11:30 PM,3,0
11:30 - 11:45 PM,2,0
"Sat, Sep 17, 2022",2903,0
05:30 - 05:45 AM,1,0
07:45 - 08:00 AM,24,0
08:00 - 08:15 AM,44,0
08:15 - 08:30 AM,23,0
08:30 - 08:45 AM,26,0
08:45 - 9:00 AM,53,0
9:00 - 9:15 AM,47,0
9:15 - 9:30 AM,40,0
9:30 - 9:45 AM,36,0
9:45 - 10:00 AM,38,0
10:00 - 10:15 AM,53,0
10:15 - 10:30 AM,52,0
10:30 - 10:45 AM,60,0
10:45 - 11:00 AM,55,0
11:00 - 11:15 AM,68,0
11:15 - 11:30 AM,76,0
11:30 - 11:45 AM,71,0
11:45 - 12:00 AM,78,0
12:00 - 12:15 AM,84,0
12:15 - 12:30 AM,60,0
12:30 - 12:45 AM,79,0
12:45 - 01:00 PM,51,0
01:00 - 01:15 PM,83,0
01:15 - 01:30 PM,90,0
01:30 - 01:45 PM,86,0
01:45 - 02:00 PM,86,0
02:00 - 02:15 PM,75,0
02:15 - 02:30 PM,79,0
02:30 - 02:45 PM,80,0
02:45 - 03:00 PM,76,0
03:00 - 03:15 PM,90,0
03:15 - 03:30 PM,85,0
"Tue, Feb 21 2023 2:45P",Page: 10/247,
,Entrances,Exits
03:30 - 03:45 PM,87,0
03:45 - 04:00 PM,50,0
04:00 - 04:15 PM,65,0
04:15 - 04:30 PM,68,0
04:30 - 04:45 PM,49,0
04:45 - 05:00 PM,62,0
05:00 - 05:15 PM,40,0
05:15 - 05:30 PM,43,0
05:30 - 05:45 PM,49,0
05:45 - 06:00 PM,38,0
06:00 - 06:15 PM,35,0
06:15 - 06:30 PM,34,0
06:30 - 06:45 PM,22,0
06:45 - 07:00 PM,60,0
07:00 - 07:15 PM,24,0
07:15 - 07:30 PM,25,0
07:30 - 07:45 PM,32,0
07:45 - 08:00 PM,50,0
08:00 - 08:15 PM,21,0
08:15 - 08:30 PM,20,0
08:30 - 08:45 PM,22,0
08:45 - 9:00 PM,11,0
9:00 - 9:15 PM,21,0
9:15 - 9:30 PM,13,0
9:30 - 9:45 PM,7,0
9:45 - 10:00 PM,3,0
10:00 - 10:15 PM,3,0
Week: 09/18/2022 - 09/24/2022,30634,0
"Sun, Sep 18, 2022",2731,0
08:00 - 08:15 AM,41,0
08:15 - 08:30 AM,23,0
08:30 - 08:45 AM,32,0
08:45 - 9:00 AM,28,0
9:00 - 9:15 AM,24,0
9:15 - 9:30 AM,48,0
9:30 - 9:45 AM,31,0
9:45 - 10:00 AM,30,0
10:00 - 10:15 AM,50,0
10:15 - 10:30 AM,34,0
10:30 - 10:45 AM,45,0
"Tue, Feb 21 2023 2:45P",Page: 11/247,
Entrances,Exits,
10:45 - 11:00 AM,51,0
11:00 - 11:15 AM,62,0
11:15 - 11:30 AM,66,0
11:30 - 11:45 AM,61,0
11:45 - 12:00 AM,63,0
12:00 - 12:15 AM,54,0
12:15 - 12:30 AM,52,0
12:30 - 12:45 AM,42,0
12:45 - 01:00 PM,36,0
01:00 - 01:15 PM,26,0
01:15 - 01:30 PM,26,0
01:30 - 01:45 PM,25,0
01:45 - 02:00 PM,33,0
02:00 - 02:15 PM,39,0
02:15 - 02:30 PM,46,0
02:30 - 02:45 PM,51,0
02:45 - 03:00 PM,72,0
03:00 - 03:15 PM,64,0
03:15 - 03:30 PM,85,0
03:30 - 03:45 PM,83,0
03:45 - 04:00 PM,66,0
04:00 - 04:15 PM,76,0
04:15 - 04:30 PM,68,0
04:30 - 04:45 PM,78,0
04:45 - 05:00 PM,120,0
05:00 - 05:15 PM,82,0
05:15 - 05:30 PM,56,0
05:30 - 05:45 PM,72,0
05:45 - 06:00 PM,54,0
06:00 - 06:15 PM,57,0
06:15 - 06:30 PM,47,0
06:30 - 06:45 PM,48,0
06:45 - 07:00 PM,75,0
07:00 - 07:15 PM,40,0
07:15 - 07:30 PM,21,0
07:30 - 07:45 PM,47,0
07:45 - 08:00 PM,44,0
08:00 - 08:15 PM,59,0
08:15 - 08:30 PM,85,0
08:30 - 08:45 PM,46,0
"Tue, Feb 21 2023 2:45P",Page: 12/247,
Entrances,Exits,
08:45 - 9:00 PM,24,0
9:00 - 9:15 PM,27,0
9:15 - 9:30 PM,12,0
9:30 - 9:45 PM,4,0
"Mon, Sep 19, 2022",5763,0
05:45 - 06:00 AM,22,0
06:00 - 06:15 AM,75,0
06:15 - 06:30 AM,39,0
06:30 - 06:45 AM,64,0
06:45 - 07:00 AM,62,0
07:00 - 07:15 AM,44,0
07:15 - 07:30 AM,61,0
07:30 - 07:45 AM,46,0
07:45 - 08:00 AM,72,0
08:00 - 08:15 AM,103,0
08:15 - 08:30 AM,83,0
08:30 - 08:45 AM,81,0
08:45 - 9:00 AM,95,0
9:00 - 9:15 AM,168,0
9:15 - 9:30 AM,87,0
9:30 - 9:45 AM,86,0
9:45 - 10:00 AM,87,0
10:00 - 10:15 AM,170,0
10:15 - 10:30 AM,100,0
10:30 - 10:45 AM,97,0
10:45 - 11:00 AM,84,0
11:00 - 11:15 AM,121,0
11:15 - 11:30 AM,86,0
11:30 - 11:45 AM,69,0
11:45 - 12:00 AM,107,0
12:00 - 12:15 AM,163,0
12:15 - 12:30 AM,77,0
12:30 - 12:45 AM,61,0
12:45 - 01:00 PM,71,0
01:00 - 01:15 PM,104,0
01:15 - 01:30 PM,79,0
01:30 - 01:45 PM,74,0
01:45 - 02:00 PM,73,0
02:00 - 02:15 PM,123,0
02:15 - 02:30 PM,92,0
"Tue, Feb 21 2023 2:45P",Page: 13/247,
Entrances,Exits,
02:30 - 02:45 PM,62,0
02:45 - 03:00 PM,70,0
03:00 - 03:15 PM,119,0
03:15 - 03:30 PM,58,0
03:30 - 03:45 PM,86,0
03:45 - 04:00 PM,85,0
04:00 - 04:15 PM,160,0
04:15 - 04:30 PM,111,0
04:30 - 04:45 PM,73,0
04:45 - 05:00 PM,90,0
05:00 - 05:15 PM,99,0
05:15 - 05:30 PM,84,0
05:30 - 05:45 PM,100,0
05:45 - 06:00 PM,124,0
06:00 - 06:15 PM,160,0
06:15 - 06:30 PM,149,0
06:30 - 06:45 PM,127,0
06:45 - 07:00 PM,105,0
07:00 - 07:15 PM,74,0
07:15 - 07:30 PM,64,0
07:30 - 07:45 PM,103,0
07:45 - 08:00 PM,105,0
08:00 - 08:15 PM,46,0
08:15 - 08:30 PM,86,0
08:30 - 08:45 PM,87,0
08:45 - 9:00 PM,78,0
9:00 - 9:15 PM,54,0
9:15 - 9:30 PM,43,0
9:30 - 9:45 PM,51,0
9:45 - 10:00 PM,32,0
10:00 - 10:15 PM,18,0
10:15 - 10:30 PM,12,0
10:30 - 10:45 PM,10,0
10:45 - 11:00 PM,3,0
11:00 - 11:15 PM,6,0
11:30 - 11:45 PM,1,0
11:45 - 00:00 AM,2,0
